Pincode,Sort Code,Courier Mode
122050,GGN/LMN,BLUEDART
122051,GGN/LMN,BLUEDART
122052,GGN/LMN,BLUEDART
122098,GGN/DLF,BLUEDART
122100,KKH/KKH,BLUEDART
122101,SOY/SOY,BLUEDART
122102,SOY/SOY,BLUEDART
122104,GBY/GBY,BLUEDART
122105,GGN/GBP,BLUEDART
122106,DRH/DRH,BLUEDART
122413,GGN/GBP,BLUEDART
122414,KKH/KKH,BLUEDART
122502,KKH/KKH,BLUEDART
122503,GGN/GBP,BLUEDART
122504,GBY/GBY,BLUEDART
122505,GGN/LMN,BLUEDART
122506,GGN/GBP,BLUEDART
123001,MHG/MHG,BLUEDART
123003,GGN/DCC,BLUEDART
123021,MHG/MHG,BLUEDART
123023,KOU/KOU,BLUEDART
123024,LOH/LOH,BLUEDART
123027,MHG/MHG,BLUEDART
123028,MHG/MHG,BLUEDART
123029,MHG/MHG,BLUEDART
123034,MHG/MHG,BLUEDART
123035,KKH/KKH,BLUEDART
123101,RWT/RWT,BLUEDART
123102,RWT/RWT,BLUEDART
123103,NMR/NMN,BLUEDART
123106,DRH/DRH,BLUEDART
123110,DRH/DRH,BLUEDART
123301,JHR/JHR,BLUEDART
123303,MHG/MHG,BLUEDART
123401,RWT/RWT,BLUEDART
123411,MHG/MHG,BLUEDART
123412,NMR/NMN,BLUEDART
123413,RWI/RWI,BLUEDART
123414,GGN/DCC,BLUEDART
123501,NMR/NMN,BLUEDART
123504,GGN/GBP,BLUEDART
123505,GGN/GBP,BLUEDART
123506,GGN/GBP,BLUEDART
124001,RTK/RTK,BLUEDART
124010,ROK/ROK,BLUEDART
124021,ROK/ROK,BLUEDART
124102,JHR/JHR,BLUEDART
124103,JHR/JHR,BLUEDART
124104,JHR/JHR,BLUEDART
124105,JHR/JHR,BLUEDART
124106,JHR/JHR,BLUEDART
124107,JHR/JHR,BLUEDART
124108,JHR/JHR,BLUEDART
124109,JHR/JHR,BLUEDART
124111,MEM/MEM,BLUEDART
124112,MEM/MEM,BLUEDART
124146,JHR/JHR,BLUEDART
124201,JHR/JHR,BLUEDART
124303,ROK/ROK,BLUEDART
124401,ROK/ROK,BLUEDART
124412,ROK/ROK,BLUEDART
124506,BHH/BHH,BLUEDART
124507,BHH/BHH,BLUEDART
124508,BHH/BHH,BLUEDART
124512,BHH/BHH,BLUEDART
124514,ROK/ROK,BLUEDART
125001,HIS/HIR,BLUEDART
125002,HIS/HIR,BLUEDART
125003,HIS/HIR,BLUEDART
125004,HIS/HIR,BLUEDART
125005,HIS/HIR,BLUEDART
125006,HIS/HIR,BLUEDART
125007,HIS/HIR,BLUEDART
125011,HIS/HIR,BLUEDART
125033,HNS/HNS,BLUEDART
125034,HNS/HNS,BLUEDART
125039,JND/JND,BLUEDART
125042,MEM/MEM,BLUEDART
125044,HIS/HIR,BLUEDART
125047,BAR/BAR,BLUEDART
125048,FHB/FHB,BLUEDART
125049,HNS/HNS,BLUEDART
125050,FHB/FHB,BLUEDART
125051,RAT/RAT,BLUEDART
125055,SIA/SIA,BLUEDART
125058,SSA/SSA,BLUEDART
125060,SSA/SSA,BLUEDART
125077,MWL/MWL,BLUEDART
125101,MWL/MWL,BLUEDART
125103,MWL/MWL,BLUEDART
125104,MWL/MWL,BLUEDART
125111,BAR/BAR,BLUEDART
125112,BAR/BAR,BLUEDART
125113,BAR/BAR,BLUEDART
125120,TOH/TOH,BLUEDART
125121,BAR/BAR,BLUEDART
125122,BAR/BAR,BLUEDART
125133,JMM/JMM,BLUEDART
125201,TWS/TWS,BLUEDART
126001,TOH/TOH,BLUEDART
126101,JND/JND,BLUEDART
126102,JND/JND,BLUEDART
126110,JND/JND,BLUEDART
126111,JND/JND,BLUEDART
126113,JND/JND,BLUEDART
126114,JND/JND,BLUEDART
126125,JND/JND,BLUEDART
127020,BHW/BHW,BLUEDART
127021,BHW/BHW,BLUEDART
127022,CRK/CRK,BLUEDART
127025,CRK/CRK,BLUEDART
127026,CRK/CRK,BLUEDART
127027,BWY/BWY,BLUEDART
127031,BWY/BWY,BLUEDART
127032,TSM/TSM,BLUEDART
127040,TSM/TSM,BLUEDART
127041,MEM/MEM,BLUEDART
127043,TSM/TSM,BLUEDART
127045,SWI/SWI,BLUEDART
127046,SWI/SWI,BLUEDART
127111,BWY/BWY,BLUEDART
127201,LOH/LOH,BLUEDART
127306,CRK/CRK,BLUEDART
127308,LOH/LOH,BLUEDART
127309,BWY/BWY,BLUEDART
127310,CRK/CRK,BLUEDART
131001,SOP/SOP,BLUEDART
131021,SOP/SOP,BLUEDART
131027,SOP/SOP,BLUEDART
131028,KDL/KDL,BLUEDART
131029,KDL/KDL,BLUEDART
131030,KDL/KDL,BLUEDART
131039,GAR/GAR,BLUEDART
131101,GAR/GAR,BLUEDART
131102,GAR/GAR,BLUEDART
131301,GOH/GOH,BLUEDART
131305,GOH/GOH,BLUEDART
132001,KRN/KNX,BLUEDART
132022,KRN/KNX,BLUEDART
132037,KRN/KNX,BLUEDART
132054,KRN/KNX,BLUEDART
132101,SMH/SMH,BLUEDART
132102,SMH/SMH,BLUEDART
132103,PNP/PAO,BLUEDART
132104,PNP/PAO,BLUEDART
132105,PNP/PAO,BLUEDART
132106,PNP/PAO,BLUEDART
132107,GOH/GOH,BLUEDART
132108,PNP/PAO,BLUEDART
132110,PNP/PAO,BLUEDART
132114,KRN/KNX,BLUEDART
132115,SMH/SMH,BLUEDART
132116,KRA/KRA,BLUEDART
