BIN,JOB SETUP,FILE NAME,LOGO, ARTWORK NO.,Printing Front,Ribbon Front,Printing Back,Ribbon Back
653062,AUF_CR_PP,AUC_PP_NEW_ISSUE_653062_L913_IXIGO,913,Inf. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_RUPAY_XCITE_ACE_653023_G29_DI,AUC_EM_B653023_L905_G_Xcite_Ace,905,R01294,DG/UG,White,DG/UG,White
653023,AUF_CR_RUPAY_XCITE_ULTRA_653023_G29_DI,AUC_EM_B653023_L906_G_Xcite_Ultra_RuPay,906,R01293,DG/UG,White,DG/UG,White
653023,AUF_CR_RUPAY_Vetta_653023_G29_DI,AUC_EM_B653023_L909_G_Vetta_RuPay,909,R01289,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_ALTURA_653024_G29,AUC_EM_B653024_L901_G_Altura_RuPay,901,R01291,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L902_G2_Altura+Pink_RuPay,902,R01290,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L902_G0_Altura+Blue_RuPay,902,R01284,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L902_G1_Altura+Blue_RuPay,902,R01284,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L904_G_Xcite_RuPay,904,R01292,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_LIT_653024_G29_DI,AUC_EM_B653024_L908_G_LIT_RuPay,908,R01288,DG,Black,DG,Black
653024,AUF_CR_RUPAY_Zenith_653024_G29_DI,AUC_EM_B653024_L910_G_Zenith_RuPay,910,R01287,DG,White,DG,White
457036,AUF_CR_VISA_TRAVERSE_409632_DI,AUC_EM_B457036_L421_G_AU_Traverse,421,VO1247,DG,White,DG,White
653024,AUF_CR_RUPAY_NOMO_653024_DI,AUC_EM_B653024_L925_G_AU_NOMO_RUPAY,925,R01313,DG,WHITE,DG,WHITE
457036,AUF_CR_PP,AUC_PP_Reissue_457036_L401_ZENITH,401,Inf. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,AUC_PP_Reissue_457036_L402_ZENITH_PLUS,402,Inf. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,AUC_PP_Reissue_465523_L301_VETTA,301,Inf. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,AUC_PP_Reissue_465523_L306_ABC_PRO,306,Inf. PP,Embossing,Gold,N/A,N/A
653024,AUF_CR_PP,AUC_PP_Reissue_653024_L910_ZENITH_RUPAY,910,Inf. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_PP,AUC_PP_Reissue_653023_L912_ZENITH_PLUS_RUPAY,912,Inf. PP,Embossing,Gold,N/A,N/A
406977,AUF_CR_PP,AUC_PP_Reissue_406977_L503_IXIGO,503,Inf. PP,Embossing,Gold,N/A,N/A
653062,AUF_CR_PP,AUC_PP_Reissue_653062_L913_IXIGO_RUPAY,913,Inf. PP,Embossing,Gold,N/A,N/A
653063,AUF_CR_PP,AUC_PP_Reissue_653063_L909_VETTA_RUPAY,909,Inf. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_RUPAY_AU_KOSMO_653023_DI,AUC_EM_B653023_L930_G_AU_KOSMO,930,RO1370,DG,BLACK,DG,WHITE
653023,AUF_CR_Zenith_Plus_Rupay_653023_G29_DI,AUC_EM_B653023_L912_G_Zenith_Plus_RuPay,912,R01295,Laser,Gold,Laser,Gold
